customerID,Churn,Churn_label,tenure,MonthlyCharges,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod
4667-QONEA,No,0,60,74.85,One year,DSL,Yes,Yes,Credit card (automatic)
1658-BYGOY,Yes,1,18,95.45,Month-to-month,Fiber optic,No,No,Electronic check
8769-KKTPH,No,0,63,99.65,One year,Fiber optic,No,Yes,Credit card (automatic)
5067-XJQFU,No,0,66,108.45,One year,Fiber optic,Yes,No,Electronic check
3957-SQXML,No,0,34,24.95,Two year,No,No internet service,No internet service,Credit card (automatic)
5954-BDFSG,No,0,72,107.5,Two year,Fiber optic,Yes,No,Credit card (automatic)
0434-CSFON,No,0,47,100.5,Month-to-month,Fiber optic,No,No,Electronic check
1215-FIGMP,No,0,60,89.9,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
0526-SXDJP,No,0,72,42.1,Two year,DSL,No,Yes,Bank transfer (automatic)
0557-ASKVU,No,0,18,54.4,One year,DSL,Yes,No,Credit card (automatic)
5698-BQJOH,Yes,1,9,94.4,Month-to-month,Fiber optic,No,No,Electronic check
5122-CYFXA,No,0,3,75.3,Month-to-month,DSL,Yes,No,Electronic check
8627-ZYGSZ,No,0,47,78.9,One year,Fiber optic,No,No,Electronic check
3410-YOQBQ,No,0,31,79.2,Two year,DSL,Yes,No,Mailed check
3170-NMYVV,No,0,50,20.15,Two year,No,No internet service,No internet service,Bank transfer (automatic)
7410-OIEDU,No,0,10,79.85,Month-to-month,Fiber optic,No,Yes,Mailed check
2273-QCKXA,No,0,1,49.05,Month-to-month,DSL,Yes,No,Mailed check
0731-EBJQB,No,0,52,20.4,One year,No,No internet service,No internet service,Electronic check
1891-QRQSA,No,0,64,111.6,Two year,Fiber optic,Yes,Yes,Bank transfer (automatic)
8028-PNXHQ,No,0,62,24.25,Two year,No,No internet service,No internet service,Bank transfer (automatic)
5630-AHZIL,No,0,3,64.5,Month-to-month,DSL,Yes,Yes,Bank transfer (automatic)
2673-CXQEU,No,0,56,110.5,One year,Fiber optic,No,Yes,Electronic check
6416-JNVRK,No,0,46,55.65,One year,DSL,No,No,Credit card (automatic)
5590-ZSKRV,No,0,8,54.65,Month-to-month,DSL,No,Yes,Mailed check
0191-ZHSKZ,No,0,30,74.75,Month-to-month,DSL,No,Yes,Electronic check
3887-PBQAO,No,0,45,25.9,One year,No,No internet service,No internet service,Credit card (automatic)
5919-TMRGD,Yes,1,1,79.35,Month-to-month,Fiber optic,No,No,Electronic check
8108-UXRQN,No,0,11,50.55,Month-to-month,DSL,No,Yes,Electronic check
9191-MYQKX,Yes,1,7,75.15,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
9919-YLNNG,No,0,42,103.8,Month-to-month,Fiber optic,Yes,No,Bank transfer (automatic)
0318-ZOPWS,No,0,49,20.15,Two year,No,No internet service,No internet service,Bank transfer (automatic)
4445-ZJNMU,No,0,9,99.3,Month-to-month,Fiber optic,No,No,Credit card (automatic)
4808-YNLEU,No,0,35,62.15,One year,DSL,No,Yes,Bank transfer (automatic)
1862-QRWPE,No,0,48,20.65,Two year,No,No internet service,No internet service,Bank transfer (automatic)
2796-NNUFI,No,0,46,19.95,Two year,No,No internet service,No internet service,Mailed check
3016-KSVCP,No,0,29,33.75,Month-to-month,DSL,No,No,Mailed check
4767-HZZHQ,No,0,30,82.05,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
2424-WVHPL,No,0,1,74.7,Month-to-month,Fiber optic,Yes,No,Electronic check
7233-PAHHL,No,0,66,84.0,Two year,DSL,Yes,Yes,Mailed check
6067-NGCEU,No,0,65,111.05,Month-to-month,Fiber optic,No,Yes,Credit card (automatic)
9848-JQJTX,No,0,72,100.9,Two year,Fiber optic,No,No,Bank transfer (automatic)
8637-XJIVR,Yes,1,12,78.95,Month-to-month,Fiber optic,No,Yes,Electronic check
9803-FTJCG,No,0,71,66.85,One year,DSL,Yes,Yes,Credit card (automatic)
0278-YXOOG,Yes,1,5,21.05,Month-to-month,No,No internet service,No internet service,Mailed check
3212-KXOCR,No,0,52,21.0,Two year,No,No internet service,No internet service,Bank transfer (automatic)
4598-XLKNJ,Yes,1,25,98.5,Month-to-month,Fiber optic,No,No,Electronic check
6380-ARCEH,No,0,1,20.2,Month-to-month,No,No internet service,No internet service,Mailed check
3679-XASPY,No,0,1,19.45,Month-to-month,No,No internet service,No internet service,Electronic check
7123-WQUHX,No,0,38,95.0,One year,Fiber optic,Yes,No,Bank transfer (automatic)
5386-THSLQ,No,0,66,45.55,One year,DSL,No,No,Bank transfer (automatic)
3192-NQECA,Yes,1,68,110.0,Two year,Fiber optic,Yes,No,Bank transfer (automatic)
6180-YBIQI,No,0,5,24.3,Month-to-month,DSL,No,No,Mailed check
6728-DKUCO,No,0,72,104.15,One year,Fiber optic,No,Yes,Electronic check
9750-BOOHV,No,0,32,30.15,One year,DSL,No,Yes,Mailed check
8597-CWYHH,No,0,43,94.35,One year,Fiber optic,No,No,Mailed check
2848-YXSMW,No,0,72,19.4,Two year,No,No internet service,No internet service,Credit card (automatic)
0486-HECZI,Yes,1,55,96.75,Month-to-month,Fiber optic,No,Yes,Electronic check
4549-ZDQYY,No,0,52,57.95,One year,DSL,Yes,Yes,Credit card (automatic)
5712-AHQNN,No,0,43,91.65,Month-to-month,Fiber optic,No,No,Electronic check
4846-WHAFZ,Yes,1,37,76.5,Month-to-month,Fiber optic,No,No,Electronic check
5256-SKJGO,No,0,64,54.6,Two year,DSL,Yes,No,Electronic check
3071-VBYPO,No,0,3,89.85,Month-to-month,Fiber optic,No,Yes,Electronic check
9560-BBZXK,No,0,36,31.05,Two year,DSL,No,Yes,Bank transfer (automatic)
5299-RULOA,Yes,1,10,100.25,Month-to-month,Fiber optic,No,Yes,Electronic check
8402-OOOHJ,No,0,41,20.65,Two year,No,No internet service,No internet service,Mailed check
9445-ZUEQE,No,0,27,85.2,Month-to-month,Fiber optic,Yes,No,Credit card (automatic)
1091-SOZGA,No,0,56,99.8,One year,Fiber optic,No,No,Credit card (automatic)
2928-HLDBA,No,0,6,20.7,Month-to-month,No,No internet service,No internet service,Mailed check
0404-SWRVG,Yes,1,3,74.4,Month-to-month,Fiber optic,No,No,Electronic check
6497-TILVL,No,0,7,50.7,Month-to-month,DSL,No,Yes,Mailed check
7219-TLZHO,No,0,4,20.85,Month-to-month,No,No internet service,No internet service,Mailed check
4622-YNKIJ,No,0,33,88.95,Two year,Fiber optic,Yes,Yes,Electronic check
4412-YLTKF,Yes,1,27,78.05,Month-to-month,Fiber optic,No,No,Electronic check
6734-PSBAW,No,0,72,23.55,Two year,No,No internet service,No internet service,Bank transfer (automatic)
3930-ZGWVE,No,0,1,19.75,Month-to-month,No,No internet service,No internet service,Mailed check
2639-UGMAZ,No,0,71,56.45,One year,DSL,No,Yes,Electronic check
2876-GZYZC,No,0,13,85.95,Month-to-month,Fiber optic,No,No,Electronic check
6207-WIOLX,Yes,1,25,58.6,Month-to-month,DSL,No,Yes,Credit card (automatic)
8587-XYZSF,No,0,67,50.55,Two year,DSL,Yes,No,Bank transfer (automatic)
3091-FYHKI,Yes,1,1,35.45,Month-to-month,DSL,No,No,Electronic check
2372-HWUHI,Yes,1,2,44.35,Month-to-month,DSL,No,No,Electronic check
7799-LGRDP,No,0,43,25.7,Two year,No,No internet service,No internet service,Credit card (automatic)
7850-VWJUU,No,0,23,75.0,Month-to-month,Fiber optic,No,Yes,Bank transfer (automatic)
3774-VBNXY,No,0,64,20.2,Two year,No,No internet service,No internet service,Mailed check
6217-KDYWC,No,0,57,19.6,Two year,No,No internet service,No internet service,Mailed check
0390-DCFDQ,Yes,1,1,70.45,Month-to-month,Fiber optic,No,No,Mailed check
3146-MSEGF,No,0,72,88.05,Two year,DSL,Yes,Yes,Credit card (automatic)
4080-OGPJL,Yes,1,8,71.15,Month-to-month,DSL,Yes,Yes,Electronic check
1095-WGNGG,No,0,61,101.05,Two year,Fiber optic,No,No,Bank transfer (automatic)
2636-SJDOU,No,0,64,84.3,One year,Fiber optic,No,Yes,Credit card (automatic)
1131-QQZEB,No,0,71,23.95,Two year,No,No internet service,No internet service,Bank transfer (automatic)
5716-EZXZN,No,0,65,99.05,Two year,Fiber optic,Yes,Yes,Credit card (automatic)
6837-BJYDQ,No,0,3,19.6,One year,No,No internet service,No internet service,Mailed check
2135-RXIHG,Yes,1,1,45.65,Month-to-month,DSL,No,No,Electronic check
6440-DKQGE,No,0,30,64.5,One year,DSL,No,No,Credit card (automatic)
3466-BYAVD,No,0,15,69.5,Month-to-month,DSL,Yes,No,Mailed check
3780-YVMFA,No,0,8,68.55,Month-to-month,DSL,Yes,No,Electronic check
3874-EQOEP,Yes,1,7,95.0,Month-to-month,Fiber optic,No,No,Mailed check
1679-JRFBR,No,0,70,108.15,One year,Fiber optic,No,Yes,Credit card (automatic)
9073-ZZIAY,No,0,62,86.1,Two year,DSL,Yes,Yes,Electronic check
3077-RSNTJ,No,0,6,19.7,Month-to-month,No,No internet service,No internet service,Mailed check
6551-GNYDG,No,0,14,80.9,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
9167-APMXZ,No,0,22,84.15,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
2749-CTKAJ,No,0,22,20.15,One year,No,No internet service,No internet service,Mailed check
6371-NZYEG,No,0,16,64.25,Two year,DSL,No,Yes,Mailed check
7554-NEWDD,No,0,10,25.7,Two year,No,No internet service,No internet service,Bank transfer (automatic)
8992-VONJD,No,0,13,56.0,Month-to-month,DSL,No,Yes,Electronic check
0867-MKZVY,Yes,1,20,82.4,Month-to-month,Fiber optic,No,Yes,Electronic check
4482-EWFMI,No,0,2,69.7,Month-to-month,Fiber optic,No,No,Electronic check
4648-YPBTM,No,0,53,73.9,Two year,DSL,Yes,No,Bank transfer (automatic)
2907-ILJBN,No,0,11,20.6,One year,No,No internet service,No internet service,Mailed check
6345-FZOQH,No,0,69,19.9,Two year,No,No internet service,No internet service,Mailed check
3376-BMGFE,Yes,1,4,70.9,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
5997-OPVFA,No,0,72,89.05,Two year,DSL,Yes,Yes,Bank transfer (automatic)
3445-HXXGF,Yes,1,58,45.3,Month-to-month,DSL,No,No,Electronic check
1159-WFSGR,No,0,16,20.4,Month-to-month,No,No internet service,No internet service,Electronic check
7654-YWJUF,No,0,43,84.25,One year,Fiber optic,Yes,Yes,Bank transfer (automatic)
1875-QIVME,Yes,1,2,104.4,Month-to-month,Fiber optic,Yes,No,Electronic check
6727-IOTLZ,No,0,14,81.95,Two year,DSL,Yes,No,Mailed check
0691-JVSYA,Yes,1,53,94.85,One year,Fiber optic,No,No,Bank transfer (automatic)
5918-VUKWP,No,0,32,20.55,One year,No,No internet service,No internet service,Bank transfer (automatic)
1744-JHKYS,No,0,34,24.7,Month-to-month,No,No internet service,No internet service,Electronic check
2656-FMOKZ,Yes,1,15,74.45,Month-to-month,Fiber optic,No,No,Mailed check
2070-FNEXE,Yes,1,7,76.45,Month-to-month,Fiber optic,No,Yes,Bank transfer (automatic)
5947-SGKCL,No,0,15,105.35,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
3712-PKXZA,No,0,61,20.55,One year,No,No internet service,No internet service,Credit card (automatic)
6317-YPKDH,Yes,1,1,29.95,Month-to-month,DSL,No,No,Bank transfer (automatic)
6582-OIVSP,No,0,1,45.3,Month-to-month,DSL,No,No,Mailed check
9367-WXLCH,Yes,1,8,84.5,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
5524-KHNJP,No,0,33,74.75,One year,DSL,No,Yes,Credit card (automatic)
1918-ZBFQJ,Yes,1,13,79.25,Month-to-month,Fiber optic,No,No,Electronic check
1024-GUALD,Yes,1,1,24.8,Month-to-month,DSL,No,No,Electronic check
4827-USJHP,No,0,20,51.8,Month-to-month,DSL,No,No,Mailed check
8167-GJLRN,No,0,3,30.4,Month-to-month,DSL,Yes,No,Electronic check
0956-SYCWG,No,0,13,19.65,One year,No,No internet service,No internet service,Electronic check
8017-UVSZU,No,0,40,56.6,Month-to-month,DSL,No,No,Credit card (automatic)
7100-FQPRV,No,0,43,71.9,One year,DSL,Yes,Yes,Credit card (automatic)
2472-OVKUP,Yes,1,6,91.0,Month-to-month,Fiber optic,No,No,Electronic check
2984-RGEYA,No,0,69,19.75,Two year,No,No internet service,No internet service,Bank transfer (automatic)
9680-NIAUV,No,0,72,109.7,Two year,Fiber optic,No,Yes,Credit card (automatic)
2146-EGVDT,No,0,59,19.3,Two year,No,No internet service,No internet service,Credit card (automatic)
2604-IJPDU,No,0,20,96.55,Month-to-month,Fiber optic,Yes,Yes,Electronic check
9178-JHUVJ,No,0,24,24.1,Two year,No,No internet service,No internet service,Bank transfer (automatic)
6168-YBYNP,No,0,59,111.35,Month-to-month,Fiber optic,Yes,No,Electronic check
7255-SSFBC,No,0,72,112.25,Two year,Fiber optic,Yes,No,Bank transfer (automatic)
3645-DEYGF,No,0,1,20.75,Month-to-month,No,No internet service,No internet service,Mailed check
9323-HGFWY,No,0,27,101.9,One year,Fiber optic,Yes,Yes,Credit card (automatic)
8544-GOQSH,No,0,14,80.05,Month-to-month,Fiber optic,Yes,No,Credit card (automatic)
3363-DTIVD,No,0,71,105.55,Two year,Fiber optic,No,Yes,Electronic check
7018-WBJNK,No,0,13,78.3,Month-to-month,Fiber optic,No,No,Credit card (automatic)
9142-KZXOP,No,0,44,68.85,Month-to-month,Fiber optic,No,No,Credit card (automatic)
7674-YTAFD,No,0,33,79.95,One year,Fiber optic,Yes,No,Bank transfer (automatic)
6348-SNFUS,No,0,72,55.45,Two year,DSL,Yes,Yes,Credit card (automatic)
1285-OKIPP,Yes,1,1,79.9,Month-to-month,Fiber optic,No,No,Electronic check
7825-ECJRF,Yes,1,19,106.6,Month-to-month,Fiber optic,Yes,Yes,Electronic check
1347-KTTTA,No,0,64,102.45,One year,Fiber optic,Yes,No,Credit card (automatic)
7841-TZDMQ,Yes,1,2,46.0,Month-to-month,DSL,No,No,Credit card (automatic)
4195-NZGTA,No,0,1,25.25,Month-to-month,DSL,No,No,Electronic check
7157-SMCFK,No,0,61,19.75,Two year,No,No internet service,No internet service,Mailed check
4709-LKHYG,No,0,29,20.0,One year,No,No internet service,No internet service,Electronic check
2504-DSHIH,No,0,23,86.8,Month-to-month,Fiber optic,No,No,Electronic check
0699-NDKJM,No,0,57,58.75,Month-to-month,DSL,No,Yes,Bank transfer (automatic)
9286-BHDQG,No,0,72,45.25,Two year,DSL,Yes,Yes,Credit card (automatic)
0230-WEQUW,No,0,66,56.6,Two year,DSL,Yes,Yes,Bank transfer (automatic)
2040-LDIWQ,No,0,65,84.2,Two year,DSL,Yes,No,Bank transfer (automatic)
6496-JDSSB,No,0,8,80.0,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
9408-SSNVZ,Yes,1,4,70.15,Month-to-month,Fiber optic,No,No,Electronic check
4443-EMBNA,No,0,71,24.75,Two year,No,No internet service,No internet service,Bank transfer (automatic)
6469-MRVET,No,0,1,20.2,One year,No,No internet service,No internet service,Electronic check
0742-MOABM,Yes,1,4,50.05,Month-to-month,DSL,Yes,No,Mailed check
5961-VUSRV,No,0,12,19.35,One year,No,No internet service,No internet service,Bank transfer (automatic)
6778-JFCMK,No,0,24,50.6,One year,DSL,No,Yes,Mailed check
6341-JVQGF,No,0,31,81.15,One year,DSL,Yes,Yes,Mailed check
2232-DMLXU,Yes,1,1,55.2,Month-to-month,DSL,No,No,Mailed check
4811-JBUVU,No,0,30,89.9,Month-to-month,Fiber optic,Yes,No,Credit card (automatic)
0945-TSONX,No,0,47,85.3,Two year,DSL,Yes,Yes,Credit card (automatic)
2651-ZCBXV,No,0,54,108.0,Two year,Fiber optic,Yes,Yes,Credit card (automatic)
3316-UWXUY,No,0,50,93.5,Month-to-month,Fiber optic,Yes,Yes,Credit card (automatic)
8937-RDTHP,Yes,1,1,84.6,Month-to-month,Fiber optic,No,Yes,Mailed check
7083-MIOPC,No,0,72,20.25,Two year,No,No internet service,No internet service,Credit card (automatic)
1984-GPTEH,No,0,29,25.15,Month-to-month,No,No internet service,No internet service,Electronic check
1251-KRREG,Yes,1,2,54.4,Month-to-month,DSL,No,No,Mailed check
0621-JFHOL,No,0,10,29.6,Two year,DSL,Yes,No,Mailed check
9903-LYSAB,No,0,18,73.15,Month-to-month,Fiber optic,No,No,Electronic check
0094-OIFMO,Yes,1,11,95.0,Month-to-month,Fiber optic,No,No,Electronic check
9227-UAQFT,No,0,16,19.75,Two year,No,No internet service,No internet service,Mailed check
7301-ABVAD,No,0,72,86.6,Two year,DSL,Yes,No,Bank transfer (automatic)
6614-FHDBO,No,0,72,109.2,Two year,Fiber optic,Yes,No,Bank transfer (automatic)
7576-ASEJU,No,0,41,74.7,One year,DSL,Yes,Yes,Credit card (automatic)
9058-HRZSV,No,0,65,94.4,Month-to-month,Fiber optic,No,Yes,Electronic check
4522-AKYLR,No,0,13,54.8,Month-to-month,DSL,No,No,Electronic check
0221-WMXNQ,No,0,4,75.35,Month-to-month,Fiber optic,No,Yes,Electronic check
0303-UNCIP,No,0,41,65.0,One year,DSL,No,No,Mailed check
9947-OTFQU,Yes,1,15,74.4,Month-to-month,Fiber optic,No,No,Electronic check
0322-YINQP,Yes,1,1,48.55,Month-to-month,DSL,No,Yes,Mailed check
0959-WHOKV,No,0,42,99.0,One year,Fiber optic,No,Yes,Electronic check
4075-JFPGR,No,0,51,93.5,One year,Fiber optic,No,Yes,Electronic check
4629-NRXKX,Yes,1,2,70.4,Month-to-month,Fiber optic,No,No,Electronic check
9514-JDSKI,Yes,1,1,40.2,Month-to-month,DSL,No,No,Electronic check
3282-ZISZV,No,0,32,83.7,One year,DSL,Yes,No,Credit card (automatic)
3675-YDUPJ,No,0,10,19.85,Month-to-month,No,No internet service,No internet service,Mailed check
4111-BNXIF,No,0,67,59.55,Two year,DSL,Yes,No,Electronic check
7017-VFHAY,No,0,61,115.1,Two year,Fiber optic,Yes,Yes,Credit card (automatic)
6655-LHBYW,No,0,50,114.35,One year,Fiber optic,Yes,Yes,Credit card (automatic)
4959-JOSRX,Yes,1,2,44.6,Month-to-month,DSL,No,No,Credit card (automatic)
5046-NUHWD,No,0,29,45.0,Month-to-month,DSL,No,Yes,Electronic check
7273-TEFQD,Yes,1,3,41.15,Month-to-month,DSL,No,No,Electronic check
3606-TWKGI,Yes,1,13,106.9,Month-to-month,Fiber optic,No,No,Electronic check
7529-ZDFXI,No,0,57,89.85,Month-to-month,Fiber optic,No,No,Electronic check
7605-BDWDC,No,0,31,49.85,Two year,DSL,Yes,Yes,Bank transfer (automatic)
1950-KSVVJ,No,0,45,113.3,One year,Fiber optic,Yes,Yes,Mailed check
0123-CRBRT,No,0,61,88.1,Two year,DSL,Yes,Yes,Mailed check
6292-TOSSS,No,0,50,24.9,Two year,No,No internet service,No internet service,Bank transfer (automatic)
3197-ARFOY,No,0,19,105.0,Month-to-month,Fiber optic,Yes,Yes,Mailed check
6323-AYBRX,Yes,1,59,19.35,Two year,No,No internet service,No internet service,Mailed check
7014-ZZXAW,No,0,71,24.25,Two year,No,No internet service,No internet service,Credit card (automatic)
4385-GZQXV,Yes,1,16,94.45,Month-to-month,Fiber optic,Yes,No,Electronic check
7633-MVPUY,No,0,57,59.75,Two year,DSL,Yes,Yes,Electronic check
6366-ZGQGL,Yes,1,1,24.8,Month-to-month,DSL,No,No,Bank transfer (automatic)
4716-HHKQH,No,0,20,107.05,Month-to-month,Fiber optic,Yes,No,Electronic check
5940-AHUHD,Yes,1,1,70.6,Month-to-month,Fiber optic,No,No,Mailed check
6432-TWQLB,Yes,1,5,85.4,Month-to-month,Fiber optic,Yes,No,Electronic check
4484-GLZOU,Yes,1,52,105.05,Month-to-month,Fiber optic,No,No,Electronic check
3179-GBRWV,No,0,21,64.95,Month-to-month,DSL,No,Yes,Bank transfer (automatic)
8645-KWHJO,No,0,14,55.0,Month-to-month,DSL,Yes,No,Electronic check
4130-MZLCC,No,0,5,50.55,Month-to-month,DSL,No,No,Bank transfer (automatic)
0314-TKOSI,No,0,6,55.15,Month-to-month,DSL,No,Yes,Mailed check
8229-MYEJZ,No,0,10,51.2,Month-to-month,DSL,No,No,Electronic check
2080-SRCDE,No,0,1,25.4,Month-to-month,No,No internet service,No internet service,Mailed check
9577-WJVCQ,No,0,68,54.45,Month-to-month,DSL,No,Yes,Mailed check
9512-UIBFX,Yes,1,18,95.15,Month-to-month,Fiber optic,No,No,Mailed check
6202-DYYFX,No,0,22,76.0,One year,Fiber optic,No,No,Credit card (automatic)
3808-HFKDE,No,0,20,44.35,Month-to-month,DSL,No,No,Electronic check
5583-SXDAG,Yes,1,1,70.0,Month-to-month,Fiber optic,No,No,Electronic check
3488-PGMQJ,Yes,1,8,74.5,Month-to-month,Fiber optic,No,No,Electronic check
3580-REOAC,Yes,1,10,44.85,Month-to-month,DSL,No,No,Credit card (automatic)
7534-BFESC,Yes,1,24,76.1,Month-to-month,Fiber optic,No,No,Electronic check
3727-OWVYD,No,0,35,61.2,One year,DSL,No,Yes,Mailed check
2294-SALNE,No,0,23,86.8,One year,Fiber optic,Yes,No,Mailed check
4847-TAJYI,No,0,6,89.35,Month-to-month,Fiber optic,No,No,Electronic check
1563-IWQEX,No,0,12,19.7,Month-to-month,No,No internet service,No internet service,Mailed check
8203-XJZRC,No,0,1,20.25,Month-to-month,No,No internet service,No internet service,Mailed check
6556-DBKZF,No,0,71,76.05,Two year,Fiber optic,No,No,Electronic check
6851-WEFYX,No,0,35,100.8,Month-to-month,Fiber optic,No,No,Electronic check
2985-JUUBZ,No,0,40,74.55,Month-to-month,DSL,No,No,Electronic check
6390-DSAZX,Yes,1,1,73.6,Month-to-month,Fiber optic,No,Yes,Mailed check
0895-LMRSF,No,0,23,64.9,One year,DSL,No,No,Bank transfer (automatic)
8098-LLAZX,Yes,1,4,95.45,Month-to-month,Fiber optic,No,No,Electronic check
8266-VBFQL,No,0,4,90.4,Month-to-month,Fiber optic,Yes,No,Electronic check
8181-YHCMF,No,0,68,60.3,Two year,DSL,Yes,No,Credit card (automatic)
2240-HSJQD,No,0,38,81.85,Month-to-month,Fiber optic,No,No,Mailed check
1248-DYXUB,No,0,52,24.8,Two year,No,No internet service,No internet service,Mailed check
0265-EDXBD,Yes,1,32,74.9,Month-to-month,Fiber optic,No,No,Electronic check
4115-BNPJY,No,0,29,75.55,Two year,DSL,Yes,No,Mailed check
3167-SNQPL,No,0,38,101.15,Month-to-month,Fiber optic,No,No,Electronic check
4091-TVOCN,No,0,48,78.75,One year,DSL,No,Yes,Credit card (automatic)
1098-TDVUQ,No,0,1,19.25,Month-to-month,No,No internet service,No internet service,Bank transfer (automatic)
7277-OZCGZ,No,0,22,89.05,Month-to-month,Fiber optic,Yes,Yes,Electronic check
